DELIVERY_START,spot_id_delta
2023-04-02 00:00:00+02:00,-8.912398061568988e-06
2023-04-02 01:00:00+02:00,-1.0028692474273973e-05
2023-04-02 02:00:00+02:00,-9.179236559065217e-06
2023-04-02 03:00:00+02:00,-1.0677784091513335e-05
2023-04-02 04:00:00+02:00,-1.0666636692667226e-05
2023-04-02 05:00:00+02:00,-8.672897984801441e-06
2023-04-02 06:00:00+02:00,-7.440560997617013e-06
2023-04-02 07:00:00+02:00,-4.193411238946231e-06
2023-04-02 08:00:00+02:00,7.053584880086739e-07
2023-04-02 09:00:00+02:00,3.460825983505319e-06
2023-04-02 10:00:00+02:00,3.2395231408546467e-06
2023-04-02 11:00:00+02:00,2.4292438386194627e-06
2023-04-02 12:00:00+02:00,1.1394747364637608e-06
2023-04-02 13:00:00+02:00,-3.639111437734541e-06
2023-04-02 14:00:00+02:00,-6.9559290505227615e-06
2023-04-02 15:00:00+02:00,3.164770803852168e-06
2023-04-02 16:00:00+02:00,2.417044812145339e-06
2023-04-02 17:00:00+02:00,1.5890686623378992e-06
2023-04-02 18:00:00+02:00,1.6851453788314995e-06
2023-04-02 19:00:00+02:00,5.00206249457847e-06
2023-04-02 20:00:00+02:00,9.486388520857158e-06
2023-04-02 21:00:00+02:00,1.1049224122743853e-05
2023-04-02 22:00:00+02:00,1.0897254182203965e-05
2023-04-02 23:00:00+02:00,1.0196615049806187e-05
2023-04-03 00:00:00+02:00,-7.196007346818881e-06
2023-04-03 01:00:00+02:00,-8.28316771763567e-06
2023-04-03 02:00:00+02:00,-9.105189704682884e-06
2023-04-03 03:00:00+02:00,-1.1619276591687252e-05
2023-04-03 04:00:00+02:00,-1.2515989931593707e-05
2023-04-03 05:00:00+02:00,-1.1232683111694112e-05
2023-04-03 06:00:00+02:00,-5.822910155885715e-06
2023-04-03 07:00:00+02:00,-2.6344055835513458e-06
2023-04-03 08:00:00+02:00,1.583754639000836e-08
2023-04-03 09:00:00+02:00,8.806325526575318e-07
2023-04-03 10:00:00+02:00,-7.43729948316168e-07
2023-04-03 11:00:00+02:00,-1.013650850167228e-06
2023-04-03 12:00:00+02:00,-9.287133370072729e-07
2023-04-03 13:00:00+02:00,-1.0314586080535744e-06
2023-04-03 14:00:00+02:00,-1.1654062291552e-06
2023-04-03 15:00:00+02:00,7.953838365249847e-06
2023-04-03 16:00:00+02:00,8.790189189984734e-06
2023-04-03 17:00:00+02:00,7.886174883697652e-06
2023-04-03 18:00:00+02:00,8.099859007632673e-06
2023-04-03 19:00:00+02:00,1.0282950443402095e-05
2023-04-03 20:00:00+02:00,1.1867580362525009e-05
2023-04-03 21:00:00+02:00,1.128183995637567e-05
2023-04-03 22:00:00+02:00,1.0384968434317806e-05
2023-04-03 23:00:00+02:00,7.716736686340946e-06
2023-04-04 00:00:00+02:00,-3.526902575050134e-06
2023-04-04 01:00:00+02:00,-4.559515177155188e-06
2023-04-04 02:00:00+02:00,-5.11274576324547e-06
2023-04-04 03:00:00+02:00,-7.814772759081746e-06
2023-04-04 04:00:00+02:00,-8.002130978818978e-06
2023-04-04 05:00:00+02:00,-5.771947851879375e-06
2023-04-04 06:00:00+02:00,7.496689836976555e-07
2023-04-04 07:00:00+02:00,8.18648703895162e-06
2023-04-04 08:00:00+02:00,1.2315004081592455e-05
2023-04-04 09:00:00+02:00,8.748366723778365e-06
2023-04-04 10:00:00+02:00,4.99703008584247e-07
2023-04-04 11:00:00+02:00,-3.7700953802857418e-06
2023-04-04 12:00:00+02:00,-5.856185995799008e-06
2023-04-04 13:00:00+02:00,-7.478497484869051e-06
2023-04-04 14:00:00+02:00,-8.617982165511295e-06
2023-04-04 15:00:00+02:00,-8.88626104188555e-06
2023-04-04 16:00:00+02:00,-1.125316093061501e-05
2023-04-04 17:00:00+02:00,-1.206079969064576e-05
2023-04-04 18:00:00+02:00,-9.88529702582423e-06
2023-04-04 19:00:00+02:00,-3.915631515567387e-06
2023-04-04 20:00:00+02:00,2.4956028540024647e-06
